0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,label
0.16090031,0.28760898,0.13385247,0.3157966,0.13188083,0.30827773,0.17118186,0.39534226,0.16542235,0.38745716,0.33541483,0.5190251,0.34914073,0.25238279,0.5639377,0.6405077,0.62453216,0.23503418,0.7776472,0.7811207,0.88031715,0.19085795,0.80924,0.46029747,0.8141753,0.32047498,0.811063,0.76095456,0.53381526,0.6128962,0.9140177,0.4193735,0.879179,0.8068653,baddha konasana
0.2775186,0.67301345,0.24705979,0.6998551,0.24508163,0.6519187,0.26457405,0.7278974,0.25491035,0.6297387,0.43229884,0.779098,0.4325837,0.57232076,0.6775835,0.7588323,0.6682281,0.58221,0.8699643,0.7139205,0.86964446,0.6008678,0.81940305,0.7310252,0.8162697,0.604359,0.7193962,0.95333934,0.7480425,0.37356508,0.9390932,0.7037949,0.9420375,0.63341546,baddha konasana
0.34416768,0.5040974,0.3107946,0.5264726,0.31376955,0.47527698,0.27971843,0.5598352,0.28174165,0.4512823,0.40468764,0.622233,0.4178647,0.4014397,0.643053,0.61140466,0.6583766,0.41960374,0.8280232,0.5720372,0.83996475,0.4605627,0.79468393,0.57881707,0.8007939,0.44444215,0.77841103,0.80349535,0.76072645,0.22548977,0.9073975,0.4882126,0.9129497,0.48055398,baddha konasana
0.24271546,0.6014075,0.22246757,0.6231473,0.22212133,0.5988431,0.23015676,0.67632455,0.22629224,0.6256432,0.3504822,0.7002642,0.36093444,0.57986605,0.5047632,0.78679836,0.52259,0.53112656,0.72633797,0.775051,0.66187745,0.50400156,0.6928874,0.7009081,0.69512904,0.60421604,0.8833328,0.7425418,0.72012705,0.47811735,0.79924077,0.56148964,0.79027075,0.5603244,baddha konasana
0.26899025,0.49588805,0.23958433,0.51601493,0.23984003,0.47599,0.22576702,0.53845763,0.22392544,0.45248,0.38564163,0.5862888,0.38739255,0.40510097,0.61838204,0.5760478,0.6207258,0.41136393,0.8213099,0.54766536,0.81743234,0.4371741,0.7784725,0.5442729,0.7772096,0.43241033,0.8295321,0.7346555,0.82507974,0.25338152,0.8800174,0.4977881,0.8955168,0.48742893,baddha konasana
0.19105294,0.5307644,0.16624871,0.55392694,0.16997181,0.5094145,0.19077983,0.5836085,0.19346058,0.49178773,0.34003726,0.6348801,0.34337094,0.44150352,0.5405496,0.6579656,0.5386589,0.42905352,0.6588327,0.6248784,0.67485523,0.43737423,0.69478893,0.598501,0.694172,0.48328418,0.70208615,0.8057184,0.691704,0.26835838,0.8332774,0.59727407,0.8476474,0.49211442,baddha konasana
0.18753639,0.5427492,0.15303625,0.554706,0.15741234,0.5053056,0.16592287,0.54340565,0.18335305,0.44929355,0.3988896,0.59425193,0.38567466,0.41742855,0.6591612,0.6183774,0.68524134,0.41398674,0.85795975,0.65493524,0.89059204,0.5186534,0.81014216,0.5751543,0.80493313,0.43666917,0.8780645,0.6413155,0.84845155,0.29936078,0.9069854,0.6130721,0.92984694,0.54388946,baddha konasana
0.3004179,0.35838702,0.2647343,0.36642957,0.26852167,0.35797936,0.22955298,0.43519446,0.23553587,0.41857168,0.3583987,0.54849195,0.34711975,0.47521853,0.5727829,0.7005324,0.51855236,0.53119004,0.7249214,0.5761419,0.6391903,0.50017387,0.6414183,0.71748865,0.6426236,0.6084441,0.7469762,0.7001618,0.5706086,0.5485731,0.7333834,0.7257873,0.70863855,0.61141306,baddha konasana
0.2349261,0.47587317,0.20858851,0.49739045,0.20831679,0.45461866,0.22218457,0.5220274,0.22671832,0.42964864,0.3857811,0.5637502,0.3915096,0.38265073,0.60922545,0.5577761,0.61293817,0.37935686,0.8058684,0.52654207,0.8100128,0.41203126,0.73927546,0.52275807,0.73991644,0.416391,0.796834,0.73146623,0.8240251,0.20570941,0.8407314,0.5125548,0.83928204,0.4330686,baddha konasana
0.163854,0.41596636,0.14137588,0.43689367,0.13899338,0.39384687,0.16255039,0.4586761,0.16068226,0.36798427,0.29283798,0.49952573,0.32749838,0.31251267,0.52852887,0.5073004,0.54335886,0.3150682,0.70942134,0.48184007,0.73414,0.34310785,0.6910765,0.4751085,0.68698925,0.3554511,0.683424,0.6816218,0.6632114,0.15859714,0.8400664,0.49333,0.8376372,0.3146518,baddha konasana
0.22891212,0.49765924,0.19661771,0.5224793,0.19854416,0.47315463,0.20319617,0.54618865,0.20501882,0.44622013,0.3639314,0.6028746,0.38411814,0.3915462,0.60596836,0.65371853,0.62485904,0.35626918,0.60337853,0.7401812,0.6343473,0.2592458,0.7621997,0.5576292,0.7575764,0.42204866,0.67396796,0.76119655,0.68919843,0.23731746,0.89690906,0.562335,0.89788914,0.4301032,baddha konasana
0.3066391,0.47559857,0.27225277,0.4999277,0.27427205,0.44752878,0.26212063,0.53370434,0.268538,0.4149564,0.40486926,0.6258625,0.41815266,0.35388303,0.6187871,0.5870507,0.6263315,0.3829946,0.7843084,0.52236015,0.81252474,0.39942408,0.7325563,0.56811774,0.7368943,0.41564047,0.72338825,0.84482676,0.7071887,0.12697944,0.8605117,0.5338352,0.85619354,0.40520003,baddha konasana
0.28961486,0.51201713,0.26339352,0.5293414,0.26593727,0.4950737,0.27261832,0.5483247,0.2758099,0.474281,0.4019072,0.5675919,0.41298687,0.45146787,0.6306223,0.5559739,0.6336573,0.467634,0.8191335,0.54555476,0.82248724,0.48012945,0.75361097,0.56684965,0.7551552,0.4757102,0.7527108,0.6771272,0.7354118,0.36247286,0.89641184,0.523942,0.88689923,0.5180041,baddha konasana
0.21160085,0.5305135,0.1780393,0.56371117,0.17639317,0.50334513,0.19445577,0.5994379,0.18506822,0.47406864,0.38256723,0.6740751,0.3811818,0.39095277,0.64491063,0.63877296,0.6392557,0.40773675,0.84345144,0.5758761,0.85030615,0.4421757,0.79434615,0.60396683,0.78544885,0.43454728,0.69938457,0.8917956,0.7252283,0.13189171,0.92029846,0.5711432,0.9280013,0.4762349,baddha konasana
0.0016170787,0.4668304,-0.008584486,0.49824175,-0.010811594,0.44689324,0.012094911,0.53477657,0.0068291565,0.4133634,0.22641765,0.5968019,0.22223167,0.34767705,0.5268796,0.5646203,0.5413014,0.38450778,0.80274373,0.54790336,0.79429865,0.4275656,0.7487653,0.5555556,0.741693,0.3947327,0.5598275,0.76136184,0.6237808,0.18035561,0.89718884,0.55492365,0.9115707,0.40638492,baddha konasana
0.28390718,0.49882883,0.2527498,0.5210225,0.2559202,0.47025916,0.26400805,0.5493835,0.26946887,0.43855694,0.4442558,0.6202596,0.43310952,0.38108277,0.6540312,0.5927199,0.6567251,0.39268914,0.8470214,0.55738914,0.85366535,0.42110673,0.7940905,0.5445248,0.7819255,0.42969579,0.8781445,0.54232806,0.81870484,0.15229362,0.879141,0.5441206,0.8944458,0.42715177,baddha konasana
0.13555613,0.46240506,0.10826261,0.4730702,0.107148334,0.4303598,0.1257619,0.4613304,0.13200143,0.37533802,0.32858655,0.46955678,0.31572366,0.32429034,0.58093786,0.5053235,0.5829821,0.29467183,0.7798728,0.52995765,0.79384756,0.38227037,0.76135546,0.46010992,0.7611555,0.31875816,0.72568893,0.65700364,0.71790415,0.175302,0.88030523,0.45335454,0.8878618,0.4195944,baddha konasana
0.34416768,0.5040974,0.3107946,0.5264726,0.31376955,0.47527698,0.27971843,0.5598352,0.28174165,0.4512823,0.40468764,0.622233,0.4178647,0.4014397,0.643053,0.61140466,0.6583766,0.41960374,0.8280232,0.5720372,0.83996475,0.4605627,0.79468393,0.57881707,0.8007939,0.44444215,0.77841103,0.80349535,0.76072645,0.22548977,0.9073975,0.4882126,0.9129497,0.48055398,baddha konasana
0.27754933,0.6738589,0.24763966,0.700836,0.24516344,0.6518238,0.2634803,0.7279185,0.25272453,0.6309349,0.43036065,0.7808621,0.43222103,0.5732967,0.67951983,0.7587656,0.66430825,0.58567566,0.8648793,0.71712303,0.86335534,0.6015767,0.81561005,0.72850454,0.8153478,0.60272837,0.71958107,0.95274615,0.74560577,0.37318087,0.9298586,0.71004057,0.9338187,0.6189626,baddha konasana
